기관코드,기관명,사업구분,담당부서,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,비고
ORG00032,테스트기관00032,강사비,교육지원팀,101224,102224,103224,104224,105224,106224,107224,108224,109224,110224,111224,112224,합성 대용량 테스트
ORG00033,테스트기관00033,운영비,행정지원팀,101231,102231,103231,104231,105231,106231,107231,108231,109231,110231,111231,112231,합성 대용량 테스트
ORG00034,테스트기관00034,급식비,예산팀,101238,102238,103238,104238,105238,106238,107238,108238,109238,110238,111238,112238,합성 대용량 테스트
ORG00035,테스트기관00035,시설비,시설팀,101245,102245,103245,104245,105245,106245,107245,108245,109245,110245,111245,112245,합성 대용량 테스트
ORG00036,테스트기관00036,강사비,교육지원팀,101252,102252,103252,104252,105252,106252,107252,108252,109252,110252,111252,112252,합성 대용량 테스트
ORG00037,테스트기관00037,운영비,행정지원팀,101259,102259,103259,104259,105259,106259,107259,108259,109259,110259,111259,112259,합성 대용량 테스트
ORG00038,테스트기관00038,급식비,예산팀,101266,102266,103266,104266,105266,106266,107266,108266,109266,110266,111266,112266,합성 대용량 테스트
ORG00039,테스트기관00039,시설비,시설팀,101273,102273,103273,104273,105273,106273,107273,108273,109273,110273,111273,112273,합성 대용량 테스트
ORG00040,테스트기관00040,강사비,교육지원팀,101280,102280,103280,104280,105280,106280,107280,108280,109280,110280,111280,112280,합성 대용량 테스트
ORG00041,테스트기관00041,운영비,행정지원팀,101287,102287,103287,104287,105287,106287,107287,108287,109287,110287,111287,112287,합성 대용량 테스트
ORG00042,테스트기관00042,급식비,예산팀,101294,102294,103294,104294,105294,106294,107294,108294,109294,110294,111294,112294,합성 대용량 테스트
ORG00043,테스트기관00043,시설비,시설팀,101301,102301,103301,104301,105301,106301,107301,108301,109301,110301,111301,112301,합성 대용량 테스트
ORG00044,테스트기관00044,강사비,교육지원팀,101308,102308,103308,104308,105308,106308,107308,108308,109308,110308,111308,112308,합성 대용량 테스트
ORG00045,테스트기관00045,운영비,행정지원팀,101315,102315,103315,104315,105315,106315,107315,108315,109315,110315,111315,112315,합성 대용량 테스트
ORG00046,테스트기관00046,급식비,예산팀,101322,102322,103322,104322,105322,106322,107322,108322,109322,110322,111322,112322,합성 대용량 테스트
ORG00047,테스트기관00047,시설비,시설팀,101329,102329,103329,104329,105329,106329,107329,108329,109329,110329,111329,112329,합성 대용량 테스트
ORG00048,테스트기관00048,강사비,교육지원팀,101336,102336,103336,104336,105336,106336,107336,108336,109336,110336,111336,112336,합성 대용량 테스트
ORG00049,테스트기관00049,운영비,행정지원팀,101343,102343,103343,104343,105343,106343,107343,108343,109343,110343,111343,112343,합성 대용량 테스트
ORG00050,테스트기관00050,급식비,예산팀,101350,102350,103350,104350,105350,106350,107350,108350,109350,110350,111350,112350,합성 대용량 테스트
ORG00051,테스트기관00051,시설비,시설팀,101357,102357,103357,104357,105357,106357,107357,108357,109357,110357,111357,112357,합성 대용량 테스트
ORG00052,테스트기관00052,강사비,교육지원팀,101364,102364,103364,104364,105364,106364,107364,108364,109364,110364,111364,112364,합성 대용량 테스트
ORG00053,테스트기관00053,운영비,행정지원팀,101371,102371,103371,104371,105371,106371,107371,108371,109371,110371,111371,112371,합성 대용량 테스트
ORG00054,테스트기관00054,급식비,예산팀,101378,102378,103378,104378,105378,106378,107378,108378,109378,110378,111378,112378,합성 대용량 테스트
ORG00055,테스트기관00055,시설비,시설팀,101385,102385,103385,104385,105385,106385,107385,108385,109385,110385,111385,112385,합성 대용량 테스트
ORG00056,테스트기관00056,강사비,교육지원팀,101392,102392,103392,104392,105392,106392,107392,108392,109392,110392,111392,112392,합성 대용량 테스트
ORG00057,테스트기관00057,운영비,행정지원팀,101399,102399,103399,104399,105399,106399,107399,108399,109399,110399,111399,112399,합성 대용량 테스트
ORG00058,테스트기관00058,급식비,예산팀,101406,102406,103406,104406,105406,106406,107406,108406,109406,110406,111406,112406,합성 대용량 테스트
ORG00059,테스트기관00059,시설비,시설팀,101413,102413,103413,104413,105413,106413,107413,108413,109413,110413,111413,112413,합성 대용량 테스트
ORG00060,테스트기관00060,강사비,교육지원팀,101420,102420,103420,104420,105420,106420,107420,108420,109420,110420,111420,112420,합성 대용량 테스트
ORG00061,테스트기관00061,운영비,행정지원팀,101427,102427,103427,104427,105427,106427,107427,108427,109427,110427,111427,112427,합성 대용량 테스트
ORG00062,테스트기관00062,급식비,예산팀,101434,102434,103434,104434,105434,106434,107434,108434,109434,110434,111434,112434,합성 대용량 테스트
ORG00063,테스트기관00063,시설비,시설팀,101441,102441,103441,104441,105441,106441,107441,108441,109441,110441,111441,112441,합성 대용량 테스트
ORG00064,테스트기관00064,강사비,교육지원팀,101448,102448,103448,104448,105448,106448,107448,108448,109448,110448,111448,112448,합성 대용량 테스트
ORG00065,테스트기관00065,운영비,행정지원팀,101455,102455,103455,104455,105455,106455,107455,108455,109455,110455,111455,112455,합성 대용량 테스트
ORG00066,테스트기관00066,급식비,예산팀,101462,102462,103462,104462,105462,106462,107462,108462,109462,110462,111462,112462,합성 대용량 테스트
ORG00067,테스트기관00067,시설비,시설팀,101469,102469,103469,104469,105469,106469,107469,108469,109469,110469,111469,112469,합성 대용량 테스트
ORG00068,테스트기관00068,강사비,교육지원팀,101476,102476,103476,104476,105476,106476,107476,108476,109476,110476,111476,112476,합성 대용량 테스트
ORG00069,테스트기관00069,운영비,행정지원팀,101483,102483,103483,104483,105483,106483,107483,108483,109483,110483,111483,112483,합성 대용량 테스트
ORG00070,테스트기관00070,급식비,예산팀,101490,102490,103490,104490,105490,106490,107490,108490,109490,110490,111490,112490,합성 대용량 테스트
ORG00071,테스트기관00071,시설비,시설팀,101497,102497,103497,104497,105497,106497,107497,108497,109497,110497,111497,112497,합성 대용량 테스트
ORG00072,테스트기관00072,강사비,교육지원팀,101504,102504,103504,104504,105504,106504,107504,108504,109504,110504,111504,112504,합성 대용량 테스트
ORG00073,테스트기관00073,운영비,행정지원팀,101511,102511,103511,104511,105511,106511,107511,108511,109511,110511,111511,112511,합성 대용량 테스트
ORG00074,테스트기관00074,급식비,예산팀,101518,102518,103518,104518,105518,106518,107518,108518,109518,110518,111518,112518,합성 대용량 테스트
ORG00075,테스트기관00075,시설비,시설팀,101525,102525,103525,104525,105525,106525,107525,108525,109525,110525,111525,112525,합성 대용량 테스트
ORG00076,테스트기관00076,강사비,교육지원팀,101532,102532,103532,104532,105532,106532,107532,108532,109532,110532,111532,112532,합성 대용량 테스트
ORG00077,테스트기관00077,운영비,행정지원팀,101539,102539,103539,104539,105539,106539,107539,108539,109539,110539,111539,112539,합성 대용량 테스트
ORG00078,테스트기관00078,급식비,예산팀,101546,102546,103546,104546,105546,106546,107546,108546,109546,110546,111546,112546,합성 대용량 테스트
ORG00079,테스트기관00079,시설비,시설팀,101553,102553,103553,104553,105553,106553,107553,108553,109553,110553,111553,112553,합성 대용량 테스트
ORG00080,테스트기관00080,강사비,교육지원팀,101560,102560,103560,104560,105560,106560,107560,108560,109560,110560,111560,112560,합성 대용량 테스트
ORG00081,테스트기관00081,운영비,행정지원팀,101567,102567,103567,104567,105567,106567,107567,108567,109567,110567,111567,112567,합성 대용량 테스트
ORG00082,테스트기관00082,급식비,예산팀,101574,102574,103574,104574,105574,106574,107574,108574,109574,110574,111574,112574,합성 대용량 테스트
ORG00083,테스트기관00083,시설비,시설팀,101581,102581,103581,104581,105581,106581,107581,108581,109581,110581,111581,112581,합성 대용량 테스트
ORG00084,테스트기관00084,강사비,교육지원팀,101588,102588,103588,104588,105588,106588,107588,108588,109588,110588,111588,112588,합성 대용량 테스트
ORG00085,테스트기관00085,운영비,행정지원팀,101595,102595,103595,104595,105595,106595,107595,108595,109595,110595,111595,112595,합성 대용량 테스트
ORG00086,테스트기관00086,급식비,예산팀,101602,102602,103602,104602,105602,106602,107602,108602,109602,110602,111602,112602,합성 대용량 테스트
ORG00087,테스트기관00087,시설비,시설팀,101609,102609,103609,104609,105609,106609,107609,108609,109609,110609,111609,112609,합성 대용량 테스트
ORG00088,테스트기관00088,강사비,교육지원팀,101616,102616,103616,104616,105616,106616,107616,108616,109616,110616,111616,112616,합성 대용량 테스트
ORG00089,테스트기관00089,운영비,행정지원팀,101623,102623,103623,104623,105623,106623,107623,108623,109623,110623,111623,112623,합성 대용량 테스트
ORG00090,테스트기관00090,급식비,예산팀,101630,102630,103630,104630,105630,106630,107630,108630,109630,110630,111630,112630,합성 대용량 테스트
ORG00091,테스트기관00091,시설비,시설팀,101637,102637,103637,104637,105637,106637,107637,108637,109637,110637,111637,112637,합성 대용량 테스트
ORG00092,테스트기관00092,강사비,교육지원팀,101644,102644,103644,104644,105644,106644,107644,108644,109644,110644,111644,112644,합성 대용량 테스트
ORG00093,테스트기관00093,운영비,행정지원팀,101651,102651,103651,104651,105651,106651,107651,108651,109651,110651,111651,112651,합성 대용량 테스트
ORG00094,테스트기관00094,급식비,예산팀,101658,102658,103658,104658,105658,106658,107658,108658,109658,110658,111658,112658,합성 대용량 테스트
ORG00095,테스트기관00095,시설비,시설팀,101665,102665,103665,104665,105665,106665,107665,108665,109665,110665,111665,112665,합성 대용량 테스트
ORG00096,테스트기관00096,강사비,교육지원팀,101672,102672,103672,104672,105672,106672,107672,108672,109672,110672,111672,112672,합성 대용량 테스트
ORG00097,테스트기관00097,운영비,행정지원팀,101679,102679,103679,104679,105679,106679,107679,108679,109679,110679,111679,112679,합성 대용량 테스트
ORG00098,테스트기관00098,급식비,예산팀,101686,102686,103686,104686,105686,106686,107686,108686,109686,110686,111686,112686,합성 대용량 테스트
ORG00099,테스트기관00099,시설비,시설팀,101693,102693,103693,104693,105693,106693,107693,108693,109693,110693,111693,112693,합성 대용량 테스트
ORG00100,테스트기관00100,강사비,교육지원팀,101700,102700,103700,104700,105700,106700,107700,108700,109700,110700,111700,112700,합성 대용량 테스트
ORG00101,테스트기관00101,운영비,행정지원팀,101707,102707,103707,104707,105707,106707,107707,108707,109707,110707,111707,112707,합성 대용량 테스트
ORG00102,테스트기관00102,급식비,예산팀,101714,102714,103714,104714,105714,106714,107714,108714,109714,110714,111714,112714,합성 대용량 테스트
ORG00103,테스트기관00103,시설비,시설팀,101721,102721,103721,104721,105721,106721,107721,108721,109721,110721,111721,112721,합성 대용량 테스트
ORG00104,테스트기관00104,강사비,교육지원팀,101728,102728,103728,104728,105728,106728,107728,108728,109728,110728,111728,112728,합성 대용량 테스트
ORG00105,테스트기관00105,운영비,행정지원팀,101735,102735,103735,104735,105735,106735,107735,108735,109735,110735,111735,112735,합성 대용량 테스트
ORG00106,테스트기관00106,급식비,예산팀,101742,102742,103742,104742,105742,106742,107742,108742,109742,110742,111742,112742,합성 대용량 테스트
ORG00107,테스트기관00107,시설비,시설팀,101749,102749,103749,104749,105749,106749,107749,108749,109749,110749,111749,112749,합성 대용량 테스트
ORG00108,테스트기관00108,강사비,교육지원팀,101756,102756,103756,104756,105756,106756,107756,108756,109756,110756,111756,112756,합성 대용량 테스트
ORG00109,테스트기관00109,운영비,행정지원팀,101763,102763,103763,104763,105763,106763,107763,108763,109763,110763,111763,112763,합성 대용량 테스트
ORG00110,테스트기관00110,급식비,예산팀,101770,102770,103770,104770,105770,106770,107770,108770,109770,110770,111770,112770,합성 대용량 테스트
ORG00111,테스트기관00111,시설비,시설팀,101777,102777,103777,104777,105777,106777,107777,108777,109777,110777,111777,112777,합성 대용량 테스트
ORG00112,테스트기관00112,강사비,교육지원팀,101784,102784,103784,104784,105784,106784,107784,108784,109784,110784,111784,112784,합성 대용량 테스트
ORG00113,테스트기관00113,운영비,행정지원팀,101791,102791,103791,104791,105791,106791,107791,108791,109791,110791,111791,112791,합성 대용량 테스트
ORG00114,테스트기관00114,급식비,예산팀,101798,102798,103798,104798,105798,106798,107798,108798,109798,110798,111798,112798,합성 대용량 테스트
ORG00115,테스트기관00115,시설비,시설팀,101805,102805,103805,104805,105805,106805,107805,108805,109805,110805,111805,112805,합성 대용량 테스트
ORG00116,테스트기관00116,강사비,교육지원팀,101812,102812,103812,104812,105812,106812,107812,108812,109812,110812,111812,112812,합성 대용량 테스트
ORG00117,테스트기관00117,운영비,행정지원팀,101819,102819,103819,104819,105819,106819,107819,108819,109819,110819,111819,112819,합성 대용량 테스트
ORG00118,테스트기관00118,급식비,예산팀,101826,102826,103826,104826,105826,106826,107826,108826,109826,110826,111826,112826,합성 대용량 테스트
ORG00119,테스트기관00119,시설비,시설팀,101833,102833,103833,104833,105833,106833,107833,108833,109833,110833,111833,112833,합성 대용량 테스트
ORG00120,테스트기관00120,강사비,교육지원팀,101840,102840,103840,104840,105840,106840,107840,108840,109840,110840,111840,112840,합성 대용량 테스트
ORG00121,테스트기관00121,운영비,행정지원팀,101847,102847,103847,104847,105847,106847,107847,108847,109847,110847,111847,112847,합성 대용량 테스트
ORG00122,테스트기관00122,급식비,예산팀,101854,102854,103854,104854,105854,106854,107854,108854,109854,110854,111854,112854,합성 대용량 테스트
ORG00123,테스트기관00123,시설비,시설팀,101861,102861,103861,104861,105861,106861,107861,108861,109861,110861,111861,112861,합성 대용량 테스트
ORG00124,테스트기관00124,강사비,교육지원팀,101868,102868,103868,104868,105868,106868,107868,108868,109868,110868,111868,112868,합성 대용량 테스트
ORG00125,테스트기관00125,운영비,행정지원팀,101875,102875,103875,104875,105875,106875,107875,108875,109875,110875,111875,112875,합성 대용량 테스트
ORG00126,테스트기관00126,급식비,예산팀,101882,102882,103882,104882,105882,106882,107882,108882,109882,110882,111882,112882,합성 대용량 테스트
ORG00127,테스트기관00127,시설비,시설팀,101889,102889,103889,104889,105889,106889,107889,108889,109889,110889,111889,112889,합성 대용량 테스트
ORG00128,테스트기관00128,강사비,교육지원팀,101896,102896,103896,104896,105896,106896,107896,108896,109896,110896,111896,112896,합성 대용량 테스트
ORG00129,테스트기관00129,운영비,행정지원팀,101903,102903,103903,104903,105903,106903,107903,108903,109903,110903,111903,112903,합성 대용량 테스트
ORG00130,테스트기관00130,급식비,예산팀,101910,102910,103910,104910,105910,106910,107910,108910,109910,110910,111910,112910,합성 대용량 테스트
ORG00131,테스트기관00131,시설비,시설팀,101917,102917,103917,104917,105917,106917,107917,108917,109917,110917,111917,112917,합성 대용량 테스트
ORG00132,테스트기관00132,강사비,교육지원팀,101924,102924,103924,104924,105924,106924,107924,108924,109924,110924,111924,112924,합성 대용량 테스트
ORG00133,테스트기관00133,운영비,행정지원팀,101931,102931,103931,104931,105931,106931,107931,108931,109931,110931,111931,112931,합성 대용량 테스트
ORG00134,테스트기관00134,급식비,예산팀,101938,102938,103938,104938,105938,106938,107938,108938,109938,110938,111938,112938,합성 대용량 테스트
ORG00135,테스트기관00135,시설비,시설팀,101945,102945,103945,104945,105945,106945,107945,108945,109945,110945,111945,112945,합성 대용량 테스트
ORG00136,테스트기관00136,강사비,교육지원팀,101952,102952,103952,104952,105952,106952,107952,108952,109952,110952,111952,112952,합성 대용량 테스트
ORG00137,테스트기관00137,운영비,행정지원팀,101959,102959,103959,104959,105959,106959,107959,108959,109959,110959,111959,112959,합성 대용량 테스트
ORG00138,테스트기관00138,급식비,예산팀,101966,102966,103966,104966,105966,106966,107966,108966,109966,110966,111966,112966,합성 대용량 테스트
ORG00139,테스트기관00139,시설비,시설팀,101973,102973,103973,104973,105973,106973,107973,108973,109973,110973,111973,112973,합성 대용량 테스트
ORG00140,테스트기관00140,강사비,교육지원팀,101980,102980,103980,104980,105980,106980,107980,108980,109980,110980,111980,112980,합성 대용량 테스트
ORG00141,테스트기관00141,운영비,행정지원팀,101987,102987,103987,104987,105987,106987,107987,108987,109987,110987,111987,112987,합성 대용량 테스트
ORG00142,테스트기관00142,급식비,예산팀,101994,102994,103994,104994,105994,106994,107994,108994,109994,110994,111994,112994,합성 대용량 테스트
ORG00143,테스트기관00143,시설비,시설팀,102001,103001,104001,105001,106001,107001,108001,109001,110001,111001,112001,113001,합성 대용량 테스트
ORG00144,테스트기관00144,강사비,교육지원팀,102008,103008,104008,105008,106008,107008,108008,109008,110008,111008,112008,113008,합성 대용량 테스트
ORG00145,테스트기관00145,운영비,행정지원팀,102015,103015,104015,105015,106015,107015,108015,109015,110015,111015,112015,113015,합성 대용량 테스트
ORG00146,테스트기관00146,급식비,예산팀,102022,103022,104022,105022,106022,107022,108022,109022,110022,111022,112022,113022,합성 대용량 테스트
ORG00147,테스트기관00147,시설비,시설팀,102029,103029,104029,105029,106029,107029,108029,109029,110029,111029,112029,113029,합성 대용량 테스트
ORG00148,테스트기관00148,강사비,교육지원팀,102036,103036,104036,105036,106036,107036,108036,109036,110036,111036,112036,113036,합성 대용량 테스트
ORG00149,테스트기관00149,운영비,행정지원팀,102043,103043,104043,105043,106043,107043,108043,109043,110043,111043,112043,113043,합성 대용량 테스트
ORG00150,테스트기관00150,급식비,예산팀,102050,103050,104050,105050,106050,107050,108050,109050,110050,111050,112050,113050,합성 대용량 테스트
ORG00151,테스트기관00151,시설비,시설팀,102057,103057,104057,105057,106057,107057,108057,109057,110057,111057,112057,113057,합성 대용량 테스트
ORG00152,테스트기관00152,강사비,교육지원팀,102064,103064,104064,105064,106064,107064,108064,109064,110064,111064,112064,113064,합성 대용량 테스트
ORG00153,테스트기관00153,운영비,행정지원팀,102071,103071,104071,105071,106071,107071,108071,109071,110071,111071,112071,113071,합성 대용량 테스트
ORG00154,테스트기관00154,급식비,예산팀,102078,103078,104078,105078,106078,107078,108078,109078,110078,111078,112078,113078,합성 대용량 테스트
ORG00155,테스트기관00155,시설비,시설팀,102085,103085,104085,105085,106085,107085,108085,109085,110085,111085,112085,113085,합성 대용량 테스트
ORG00156,테스트기관00156,강사비,교육지원팀,102092,103092,104092,105092,106092,107092,108092,109092,110092,111092,112092,113092,합성 대용량 테스트
ORG00157,테스트기관00157,운영비,행정지원팀,102099,103099,104099,105099,106099,107099,108099,109099,110099,111099,112099,113099,합성 대용량 테스트
ORG00158,테스트기관00158,급식비,예산팀,102106,103106,104106,105106,106106,107106,108106,109106,110106,111106,112106,113106,합성 대용량 테스트
ORG00159,테스트기관00159,시설비,시설팀,102113,103113,104113,105113,106113,107113,108113,109113,110113,111113,112113,113113,합성 대용량 테스트
ORG00160,테스트기관00160,강사비,교육지원팀,102120,103120,104120,105120,106120,107120,108120,109120,110120,111120,112120,113120,합성 대용량 테스트
ORG00161,테스트기관00161,운영비,행정지원팀,102127,103127,104127,105127,106127,107127,108127,109127,110127,111127,112127,113127,합성 대용량 테스트
ORG00162,테스트기관00162,급식비,예산팀,102134,103134,104134,105134,106134,107134,108134,109134,110134,111134,112134,113134,합성 대용량 테스트
ORG00163,테스트기관00163,시설비,시설팀,102141,103141,104141,105141,106141,107141,108141,109141,110141,111141,112141,113141,합성 대용량 테스트
ORG00164,테스트기관00164,강사비,교육지원팀,102148,103148,104148,105148,106148,107148,108148,109148,110148,111148,112148,113148,합성 대용량 테스트
ORG00165,테스트기관00165,운영비,행정지원팀,102155,103155,104155,105155,106155,107155,108155,109155,110155,111155,112155,113155,합성 대용량 테스트
ORG00166,테스트기관00166,급식비,예산팀,102162,103162,104162,105162,106162,107162,108162,109162,110162,111162,112162,113162,합성 대용량 테스트
ORG00167,테스트기관00167,시설비,시설팀,102169,103169,104169,105169,106169,107169,108169,109169,110169,111169,112169,113169,합성 대용량 테스트
ORG00168,테스트기관00168,강사비,교육지원팀,102176,103176,104176,105176,106176,107176,108176,109176,110176,111176,112176,113176,합성 대용량 테스트
ORG00169,테스트기관00169,운영비,행정지원팀,102183,103183,104183,105183,106183,107183,108183,109183,110183,111183,112183,113183,합성 대용량 테스트
ORG00170,테스트기관00170,급식비,예산팀,102190,103190,104190,105190,106190,107190,108190,109190,110190,111190,112190,113190,합성 대용량 테스트
ORG00171,테스트기관00171,시설비,시설팀,102197,103197,104197,105197,106197,107197,108197,109197,110197,111197,112197,113197,합성 대용량 테스트
ORG00172,테스트기관00172,강사비,교육지원팀,102204,103204,104204,105204,106204,107204,108204,109204,110204,111204,112204,113204,합성 대용량 테스트
ORG00173,테스트기관00173,운영비,행정지원팀,102211,103211,104211,105211,106211,107211,108211,109211,110211,111211,112211,113211,합성 대용량 테스트
ORG00174,테스트기관00174,급식비,예산팀,102218,103218,104218,105218,106218,107218,108218,109218,110218,111218,112218,113218,합성 대용량 테스트
ORG00175,테스트기관00175,시설비,시설팀,102225,103225,104225,105225,106225,107225,108225,109225,110225,111225,112225,113225,합성 대용량 테스트
ORG00176,테스트기관00176,강사비,교육지원팀,102232,103232,104232,105232,106232,107232,108232,109232,110232,111232,112232,113232,합성 대용량 테스트
ORG00177,테스트기관00177,운영비,행정지원팀,102239,103239,104239,105239,106239,107239,108239,109239,110239,111239,112239,113239,합성 대용량 테스트
ORG00178,테스트기관00178,급식비,예산팀,102246,103246,104246,105246,106246,107246,108246,109246,110246,111246,112246,113246,합성 대용량 테스트
ORG00179,테스트기관00179,시설비,시설팀,102253,103253,104253,105253,106253,107253,108253,109253,110253,111253,112253,113253,합성 대용량 테스트
ORG00180,테스트기관00180,강사비,교육지원팀,102260,103260,104260,105260,106260,107260,108260,109260,110260,111260,112260,113260,합성 대용량 테스트
ORG00181,테스트기관00181,운영비,행정지원팀,102267,103267,104267,105267,106267,107267,108267,109267,110267,111267,112267,113267,합성 대용량 테스트
ORG00182,테스트기관00182,급식비,예산팀,102274,103274,104274,105274,106274,107274,108274,109274,110274,111274,112274,113274,합성 대용량 테스트
ORG00183,테스트기관00183,시설비,시설팀,102281,103281,104281,105281,106281,107281,108281,109281,110281,111281,112281,113281,합성 대용량 테스트
ORG00184,테스트기관00184,강사비,교육지원팀,102288,103288,104288,105288,106288,107288,108288,109288,110288,111288,112288,113288,합성 대용량 테스트
ORG00185,테스트기관00185,운영비,행정지원팀,102295,103295,104295,105295,106295,107295,108295,109295,110295,111295,112295,113295,합성 대용량 테스트
ORG00186,테스트기관00186,급식비,예산팀,102302,103302,104302,105302,106302,107302,108302,109302,110302,111302,112302,113302,합성 대용량 테스트
ORG00187,테스트기관00187,시설비,시설팀,102309,103309,104309,105309,106309,107309,108309,109309,110309,111309,112309,113309,합성 대용량 테스트
ORG00188,테스트기관00188,강사비,교육지원팀,102316,103316,104316,105316,106316,107316,108316,109316,110316,111316,112316,113316,합성 대용량 테스트
ORG00189,테스트기관00189,운영비,행정지원팀,102323,103323,104323,105323,106323,107323,108323,109323,110323,111323,112323,113323,합성 대용량 테스트
ORG00190,테스트기관00190,급식비,예산팀,102330,103330,104330,105330,106330,107330,108330,109330,110330,111330,112330,113330,합성 대용량 테스트
ORG00191,테스트기관00191,시설비,시설팀,102337,103337,104337,105337,106337,107337,108337,109337,110337,111337,112337,113337,합성 대용량 테스트
ORG00192,테스트기관00192,강사비,교육지원팀,102344,103344,104344,105344,106344,107344,108344,109344,110344,111344,112344,113344,합성 대용량 테스트
ORG00193,테스트기관00193,운영비,행정지원팀,102351,103351,104351,105351,106351,107351,108351,109351,110351,111351,112351,113351,합성 대용량 테스트
ORG00194,테스트기관00194,급식비,예산팀,102358,103358,104358,105358,106358,107358,108358,109358,110358,111358,112358,113358,합성 대용량 테스트
ORG00195,테스트기관00195,시설비,시설팀,102365,103365,104365,105365,106365,107365,108365,109365,110365,111365,112365,113365,합성 대용량 테스트
